EM_PREDICTION,IMP_Flash_Point,IMP_Sp.Gr.@_6060_deg.F,P_Viscosity,sample_id,sample_point_id,Viscosity,_dmIndex_,_PartInd_
3.6025731605,82.0000,1.0586,3.6025731605,2005018452,OL2-SC231,3.3600,1000096,0
3.5778473072,79.0000,1.0592,3.5778473072,2005020202,OL2-SC231,3.4220,1000097,1
3.5866063948,81.0000,1.0587,3.5866063948,2005021903,OL2-SC231,3.3480,1000098,1
3.5589030253,79.0000,1.0588,3.5589030253,2005023686,OL2-SC231,3.3460,1000099,1
3.608810335,80.0000,1.0595,3.608810335,2005025120,OL2-SC231,3.4140,1000100,1
3.72947993,84.0000,1.0602,3.72947993,2005026488,OL2-SC231,3.5249,1000101,0
3.8033476848,85.0000,1.0610,3.8033476848,2005028243,OL2-SC231,3.5657,1000102,0
4.0545192085,89.0000,1.0626,4.0545192085,2005029887,OL2-SC231,3.7544,1000103,1
4.0554890973,88.0000,1.0633,4.0554890973,2005031604,OL2-SC231,3.8926,1000104,0
3.6602168769,75.0000,1.0616,3.6602168769,2005033233,OL2-SC231,3.7031,1000105,0
3.6216871824,78.0000,1.0603,3.6216871824,2005034922,OL2-SC231,3.5312,1000106,1
4.1133336613,89.0000,1.0635,4.1133336613,2005036373,OL2-SC231,3.8530,1000107,1
3.7892694697,81.0000,1.0625,3.7892694697,2005037712,OL2-SC231,3.7510,1000108,0
3.7243356066,80.0000,1.0617,3.7243356066,2005039479,OL2-SC231,3.7330,1000109,1
3.813958121,84.0000,1.0617,3.813958121,2005041164,OL2-SC231,3.7982,1000110,0
3.7603268053,85.0000,1.0602,3.7603268053,2005042781,OL2-SC231,3.7277,1000111,0
3.5387812087,82.0000,1.0573,3.5387812087,2005044289,OL2-SC231,3.5516,1000112,1
3.5704930833,86.0000,1.0558,3.5704930833,2005045858,OL2-SC231,3.2535,1000113,1
3.5304738068,86.0000,1.0549,3.5304738068,2005047290,OL2-SC231,3.2412,1000114,1
3.853869583,92.0000,1.0570,3.853869583,2005048558,OL2-SC231,3.4090,1000115,1
3.3403884956,76.0000,1.0545,3.3403884956,2006001250,OL2-SC231,3.2190,1000116,1
3.5898360719,83.0000,1.0579,3.5898360719,2006003011,OL2-SC231,3.4830,1000117,1
3.84445021,85.0000,1.0617,3.84445021,2006004732,OL2-SC231,3.7055,1000118,0
3.9053724109,85.0000,1.0627,3.9053724109,2006006249,OL2-SC231,3.8199,1000119,1
3.9029036288,85.0000,1.0627,3.9029036288,2006007892,OL2-SC231,3.7967,1000120,0
3.8827067785,83.0000,1.0633,3.8827067785,2006009293,OL2-SC231,3.8047,1000121,0
3.8156470282,85.0000,1.0612,3.8156470282,2006010582,OL2-SC231,3.6247,1000122,0
3.9350051359,88.0000,1.0614,3.9350051359,2006012213,OL2-SC231,3.6557,1000123,1
3.8273713976,84.0000,1.0619,3.8273713976,2006013874,OL2-SC231,3.6770,1000124,1
3.8277833011,85.0000,1.0614,3.8277833011,2006015587,OL2-SC231,3.5300,1000125,0
3.9082033691,86.0000,1.0622,3.9082033691,2006017177,OL2-SC231,3.7130,1000126,1
3.8011399897,80.0000,1.0630,3.8011399897,2006018775,OL2-SC231,3.7921,1000127,0
4.2507349802,92.0000,1.0633,4.2507349802,2006020248,OL2-SC231,3.9019,1000128,1
3.982966481,87.0000,1.0628,3.982966481,2006021556,OL2-SC231,3.7238,1000129,1
3.5899455975,75.0000,1.0603,3.5899455975,2006023267,OL2-SC231,3.8307,1000130,1
3.7586827406,85.0000,1.0602,3.7586827406,2006024907,OL2-SC231,3.3886,1000131,1
3.576224788,75.0000,1.0600,3.576224788,2006026692,OL2-SC231,3.3732,1000132,1
3.7181729972,82.0000,1.0609,3.7181729972,2006028292,OL2-SC231,3.5145,1000133,1
3.6697170385,83.0000,1.0595,3.6697170385,2006030009,OL2-SC231,3.5076,1000134,0
3.5983284821,81.0000,1.0589,3.5983284821,2006031411,OL2-SC231,3.4137,1000135,1
3.7388695239,85.0000,1.0598,3.7388695239,2006032637,OL2-SC231,3.5243,1000136,0
3.9581539352,90.0000,1.0604,3.9581539352,2006034265,OL2-SC231,3.4958,1000137,0
3.7611497302,85.0000,1.0602,3.7611497302,2006036016,OL2-SC231,3.5012,1000138,0
3.8147848141,85.0000,1.0612,3.8147848141,2006037615,OL2-SC231,3.5967,1000139,0
4.0291365052,91.0000,1.0608,4.0291365052,2006039204,OL2-SC231,3.5687,1000140,1
3.9323487175,89.0000,1.0607,3.9323487175,2006040679,OL2-SC231,3.5090,1000141,1
3.7890252299,86.0000,1.0602,3.7890252299,2006041958,OL2-SC231,3.6043,1000142,1
3.5721466886,81.0000,1.0584,3.5721466886,2006043381,OL2-SC231,3.5697,1000143,1
3.7732879174,85.0000,1.0604,3.7732879174,2006044954,OL2-SC231,3.6763,1000144,2
3.7940410831,86.0000,1.0603,3.7940410831,2006046475,OL2-SC231,3.4601,1000145,1
3.6822674827,82.0000,1.0602,3.6822674827,2007001151,OL2-SC231,3.4852,1000146,1
3.6538439615,83.0000,1.0592,3.6538439615,2007002741,OL2-SC231,3.4171,1000147,1
3.6832757336,85.0000,1.0588,3.6832757336,2007004293,OL2-SC231,3.3376,1000148,1
3.7067893188,85.0000,1.0592,3.7067893188,2007005944,OL2-SC231,3.3840,1000149,1
3.5974957336,83.0000,1.0581,3.5974957336,2007007282,OL2-SC231,3.4556,1000150,2
3.7177173582,83.0000,1.0604,3.7177173582,2007008947,OL2-SC231,3.4710,1000151,2
3.7754524881,79.0000,1.0629,3.7754524881,2007010540,OL2-SC231,3.6111,1000152,0
4.1201332656,85.0000,1.0659,4.1201332656,2007012182,OL2-SC231,3.8367,1000153,1
4.1854181946,86.0000,1.0663,4.1854181946,2007013750,OL2-SC231,3.9089,1000154,1
4.079327676,87.0000,1.0643,4.079327676,2007015398,OL2-SC231,3.6153,1000155,1
4.3848773238,92.0000,1.0650,4.3848773238,2007016786,OL2-SC231,3.7654,1000156,1
3.9448870761,86.0000,1.0628,3.9448870761,2007018128,OL2-SC231,3.4654,1000157,1
3.684784363,83.0000,1.0598,3.684784363,2007019843,OL2-SC231,3.1539,1000158,1
3.8450391459,85.0000,1.0617,3.8450391459,2007021549,OL2-SC231,3.3776,1000159,0
3.8211942295,81.0000,1.0630,3.8211942295,2007023262,OL2-SC231,3.5030,1000160,0
3.8469697518,82.0000,1.0631,3.8469697518,2007024817,OL2-SC231,3.5044,1000161,0
3.8517583005,78.0000,1.0644,3.8517583005,2007026487,OL2-SC231,3.9147,1000162,0
3.8194096901,77.0000,1.0641,3.8194096901,2007027904,OL2-SC231,3.8450,1000163,0
4.2272965975,91.0000,1.0637,4.2272965975,2007029134,OL2-SC231,3.6714,1000164,1
3.9929489945,88.0000,1.0623,3.9929489945,2007030772,OL2-SC231,3.4580,1000165,1
4.0631556393,89.0000,1.0628,4.0631556393,2007032349,OL2-SC231,3.4876,1000166,1
4.6124773067,94.0000,1.0662,4.6124773067,2007033975,OL2-SC231,3.8667,1000167,0
4.4428080057,93.0000,1.0650,4.4428080057,2007035597,OL2-SC231,3.7487,1000168,0
3.9955158138,92.0000,1.0595,3.9955158138,2007037291,OL2-SC231,3.1774,1000169,0
3.6439560223,84.0000,1.0585,3.6439560223,2007038704,OL2-SC231,3.1137,1000170,0
3.5489919839,80.0000,1.0583,3.5489919839,2007039995,OL2-SC231,3.0799,1000171,1
3.6607689658,84.0000,1.0588,3.6607689658,2007041620,OL2-SC231,3.1776,1000172,1
3.718169027,86.0000,1.0588,3.718169027,2007043113,OL2-SC231,3.2626,1000173,2
4.0840000283,96.0000,1.0573,4.0840000283,2007044659,OL2-SC231,3.0167,1000174,0
3.7187472416,87.0000,1.0582,3.7187472416,2007046238,OL2-SC231,3.1266,1000175,0
3.8170047414,88.0000,1.0594,3.8170047414,2007047813,OL2-SC231,3.2606,1000176,1
3.5691943768,84.0000,1.0570,3.5691943768,2008000881,OL2-SC231,3.1221,1000177,0
3.3807423871,82.0000,1.0535,3.3807423871,2008002149,OL2-SC231,3.0165,1000178,2
3.0354460485,82.0000,1.0412,3.0354460485,2008003810,OL2-SC231,3.0115,1000179,1
3.6387614161,85.0000,1.0579,3.6387614161,2008005497,OL2-SC231,3.3258,1000180,1
3.550918899,86.0000,1.0554,3.550918899,2008007195,OL2-SC231,3.1087,1000181,1
4.0958790531,93.0000,1.0602,4.0958790531,2008008820,OL2-SC231,3.4136,1000182,1
4.3468420795,96.0000,1.0612,4.3468420795,2008013662,OL2-SC231,3.4813,1000183,1
4.4571944223,97.0000,1.0617,4.4571944223,2008015088,OL2-SC231,3.5749,1000184,0
4.4356817422,98.0000,1.0605,4.4356817422,2008016478,OL2-SC231,3.6187,1000185,0
4.3624962453,96.0000,1.0614,4.3624962453,2008018109,OL2-SC231,3.5637,1000186,0
4.2855089591,94.0000,1.0621,4.2855089591,2008019780,OL2-SC231,3.6557,1000187,1
3.8058295315,86.0000,1.0605,3.8058295315,2008021485,OL2-SC231,3.5576,1000188,1
3.5855538974,83.0000,1.0578,3.5855538974,2008023047,OL2-SC231,3.2317,1000189,1
3.4543088913,76.0000,1.0573,3.4543088913,2008024969,OL2-SC231,3.5176,1000190,1
3.4373072549,79.0000,1.0561,3.4373072549,2008026412,OL2-SC231,3.2106,1000191,1
3.6782032615,80.0000,1.0609,3.6782032615,2008027714,OL2-SC231,3.5750,1000192,2
3.7719138737,86.0000,1.0599,3.7719138737,2008029342,OL2-SC231,3.4946,1000193,0
3.6713650579,87.0000,1.0573,3.6713650579,2008031046,OL2-SC231,3.2956,1000194,0
3.5354649274,84.0000,1.0562,3.5354649274,2008032819,OL2-SC231,3.2300,1000195,1
3.4039906389,80.0000,1.0549,3.4039906389,2008034445,OL2-SC231,3.1071,1000196,1
3.6223160323,83.0000,1.0586,3.6223160323,2008036087,OL2-SC231,3.3527,1000197,1
3.6017810424,85.0000,1.0571,3.6017810424,2008037477,OL2-SC231,3.2667,1000198,2
3.6020549797,86.0000,1.0565,3.6020549797,2008038728,OL2-SC231,3.2090,1000199,0
3.6417060794,86.0000,1.0573,3.6417060794,2008040350,OL2-SC231,3.3636,1000200,1
3.6077785313,84.0000,1.0578,3.6077785313,2008041968,OL2-SC231,3.4016,1000201,1
3.6271711393,84.0000,1.0582,3.6271711393,2008043561,OL2-SC231,3.5706,1000202,1
3.5827160888,86.0000,1.0561,3.5827160888,2008045170,OL2-SC231,3.3056,1000203,0
3.5434690844,86.0000,1.0552,3.5434690844,2008046944,OL2-SC231,3.2276,1000204,2
3.2971772335,75.0000,1.0535,3.2971772335,2008048312,OL2-SC231,3.1526,1000205,1
3.2958992473,75.0000,1.0535,3.2958992473,2008049564,OL2-SC231,3.0985,1000206,1
3.3147080014,77.0000,1.0536,3.3147080014,2008051245,OL2-SC231,3.1056,1000207,1
3.3834062157,81.0000,1.0540,3.3834062157,2009001172,OL2-SC231,3.1046,1000208,1
3.3171423409,76.0000,1.0539,3.3171423409,2009002907,OL2-SC231,3.0955,1000209,1
3.3408172965,78.0000,1.0540,3.3408172965,2009004662,OL2-SC231,3.1436,1000210,0
3.3010249395,75.0000,1.0536,3.3010249395,2009006308,OL2-SC231,3.1619,1000211,0
3.3362121016,75.0000,1.0546,3.3362121016,2009007679,OL2-SC231,3.2454,1000212,1
3.4098009438,76.0000,1.0562,3.4098009438,2009009003,OL2-SC231,3.4093,1000213,1
3.4846599302,78.0000,1.0575,3.4846599302,2009010683,OL2-SC231,3.5247,1000214,1
3.5187074551,78.0000,1.0582,3.5187074551,2009012254,OL2-SC231,3.5837,1000215,0
3.5450498973,79.0000,1.0585,3.5450498973,2009013914,OL2-SC231,3.4670,1000216,1
3.5584220323,79.0000,1.0588,3.5584220323,2009015570,OL2-SC231,3.3685,1000217,1
3.606307704,80.0000,1.0595,3.606307704,2009017227,OL2-SC231,3.4542,1000218,0
3.5941625851,79.0000,1.0595,3.5941625851,2009018610,OL2-SC231,3.5217,1000219,1
3.5050750378,78.0000,1.0579,3.5050750378,2009019885,OL2-SC231,3.3546,1000220,0
3.5062226228,78.0000,1.0580,3.5062226228,2009021498,OL2-SC231,3.3519,1000221,1
3.5271237543,78.0000,1.0584,3.5271237543,2009023148,OL2-SC231,3.4068,1000222,0
3.4952642817,78.0000,1.0577,3.4952642817,2009024827,OL2-SC231,3.3106,1000223,0
3.4894276677,79.5000,1.0572,3.4894276677,2009026390,OL2-SC231,3.2796,1000224,0
3.5436280767,79.0000,1.0585,3.5436280767,2009028052,OL2-SC231,3.3783,1000225,0
3.6543695058,81.0000,1.0601,3.6543695058,2009029490,OL2-SC231,3.5714,1000226,1
3.6637463425,81.0000,1.0602,3.6637463425,2009030900,OL2-SC231,3.6887,1000227,0
3.6763769653,81.0000,1.0605,3.6763769653,2009032629,OL2-SC231,3.6520,1000228,1
3.6611334333,81.0000,1.0602,3.6611334333,2009034314,OL2-SC231,3.6937,1000229,1
3.5933922518,80.0000,1.0592,3.5933922518,2009036005,OL2-SC231,3.6220,1000230,0
3.4994506266,79.0000,1.0575,3.4994506266,2009037558,OL2-SC231,3.4870,1000231,1
3.449171667,79.0000,1.0564,3.449171667,2009039158,OL2-SC231,3.3517,1000232,0
3.4285174323,79.0000,1.0559,3.4285174323,2009040600,OL2-SC231,3.3636,1000233,1
3.4155049929,79.0000,1.0556,3.4155049929,2009041900,OL2-SC231,3.2486,1000234,1
3.4720715313,80.0000,1.0566,3.4720715313,2009043497,OL2-SC231,3.3468,1000235,1
3.5101740494,80.0000,1.0574,3.5101740494,2009045103,OL2-SC231,3.4344,1000236,1
3.5595502083,81.0000,1.0581,3.5595502083,2009046786,OL2-SC231,3.5078,1000237,1
3.7958089531,83.0000,1.0618,3.7958089531,2010001074,OL2-SC231,3.8141,1000238,1
3.8817799467,83.0000,1.0633,3.8817799467,2010002709,OL2-SC231,3.9624,1000239,1
3.8941919096,83.0000,1.0635,3.8941919096,2010004115,OL2-SC231,4.0021,1000240,1
3.8512205845,82.0000,1.0632,3.8512205845,2010005477,OL2-SC231,3.9757,1000241,1
3.5160892525,79.0000,1.0579,3.5160892525,2010007367,OL2-SC231,3.2986,1000242,1
3.6386672079,81.0000,1.0597,3.6386672079,2010009160,OL2-SC231,3.4246,1000243,2
3.6689912317,81.0000,1.0603,3.6689912317,2010011037,OL2-SC231,3.5260,1000244,1
3.6870153357,81.0000,1.0607,3.6870153357,2010012815,OL2-SC231,3.5876,1000245,0
3.6761123247,81.0000,1.0605,3.6761123247,2010014619,OL2-SC231,3.3586,1000246,0
3.66689022,81.0000,1.0603,3.66689022,2010016144,OL2-SC231,3.5404,1000247,1
3.6285420283,80.0000,1.0599,3.6285420283,2010017578,OL2-SC231,3.5143,1000248,1
3.6270108397,80.0000,1.0599,3.6270108397,2010019298,OL2-SC231,3.5291,1000249,1
3.4893827555,78.0000,1.0576,3.4893827555,2010020935,OL2-SC231,3.4236,1000250,1
3.5429314045,81.0000,1.0578,3.5429314045,2010022519,OL2-SC231,3.4616,1000251,2
3.6201802147,81.0000,1.0594,3.6201802147,2010024288,OL2-SC231,3.5837,1000252,0
3.7118777242,81.0000,1.0611,3.7118777242,2010026435,OL2-SC231,3.6922,1000253,0
3.7900774219,82.0000,1.0621,3.7900774219,2010028016,OL2-SC231,3.8057,1000254,1
3.719554774,81.0000,1.0613,3.719554774,2010029363,OL2-SC231,3.7726,1000255,0
3.7124243681,81.0000,1.0611,3.7124243681,2010031218,OL2-SC231,3.7807,1000256,1
3.620908436,80.0000,1.0598,3.620908436,2010033105,OL2-SC231,3.5970,1000257,1
3.5702175747,80.0000,1.0587,3.5702175747,2010035436,OL2-SC231,3.4583,1000258,1
3.5644514777,79.0000,1.0589,3.5644514777,2010038011,OL2-SC231,3.5091,1000259,1
3.5524295449,79.0000,1.0587,3.5524295449,2010039696,OL2-SC231,3.5126,1000260,1
3.5874865159,80.0000,1.0591,3.5874865159,2010041084,OL2-SC231,3.8227,1000261,0
3.5750516492,80.0000,1.0588,3.5750516492,2010042406,OL2-SC231,3.7917,1000262,0
3.3050580213,80.0000,1.0523,3.3050580213,2010044142,OL2-SC231,3.6417,1000263,1
3.4933725142,79.0000,1.0574,3.4933725142,2010045903,OL2-SC231,3.6167,1000264,2
3.5835686178,80.0000,1.0590,3.5835686178,2010047647,OL2-SC231,3.9004,1000265,1
3.6013207635,80.0000,1.0594,3.6013207635,2010049318,OL2-SC231,3.9380,1000266,1
3.6430198454,81.0000,1.0598,3.6430198454,2010051010,OL2-SC231,3.8868,1000267,1
3.6795576601,81.0000,1.0605,3.6795576601,2010052520,OL2-SC231,3.7717,1000268,0
3.6774361693,81.0000,1.0605,3.6774361693,2011000991,OL2-SC231,3.7187,1000269,1
3.7195353973,82.0000,1.0609,3.7195353973,2011002880,OL2-SC231,3.7327,1000270,2
4.179031284,85.0000,1.0667,4.179031284,2011004706,OL2-SC231,4.2228,1000271,0
4.2022982061,85.0000,1.0670,4.2022982061,2011006551,OL2-SC231,4.2478,1000272,1
4.1678778807,84.0300,1.0670,4.1678778807,2011008313,OL2-SC231,4.1157,1000273,0
4.1571695755,83.0000,1.0673,4.1571695755,2011010100,OL2-SC231,4.1668,1000274,0
4.234550266,84.0000,1.0679,4.234550266,2011011585,OL2-SC231,4.2128,1000275,0
3.9336936516,81.0000,1.0648,3.9336936516,2011013122,OL2-SC231,4.1597,1000276,1
3.5662646533,76.0000,1.0597,3.5662646533,2011015017,OL2-SC231,3.3765,1000277,1
3.6016228772,76.0000,1.0604,3.6016228772,2011016848,OL2-SC231,3.4473,1000278,1
3.593179443,76.0000,1.0602,3.593179443,2011018716,OL2-SC231,3.3116,1000279,1
3.6239964711,79.0000,1.0601,3.6239964711,2011020388,OL2-SC231,3.5497,1000280,1
3.6638553268,80.0000,1.0606,3.6638553268,2011022221,OL2-SC231,3.4970,1000281,1
3.6873338054,80.0000,1.0610,3.6873338054,2011023819,OL2-SC231,3.5935,1000282,0
3.6716232378,81.0000,1.0604,3.6716232378,2011025313,OL2-SC231,3.6134,1000283,0
3.6854130032,81.0000,1.0606,3.6854130032,2011027164,OL2-SC231,3.6607,1000284,1
3.7124243681,81.0000,1.0611,3.7124243681,2011029109,OL2-SC231,3.7767,1000285,0
3.6249727356,80.0000,1.0598,3.6249727356,2011030970,OL2-SC231,3.6796,1000286,0
3.4935813195,80.0000,1.0571,3.4935813195,2011032797,OL2-SC231,3.4395,1000287,0
